signalname,is_mean,pp_mean,is_n,pub_year,retention,is_mean_z,pub_year_z,log_n_z
RealizedVol,0.8485354046463082,0.05022266205110579,456,2006,0.059187467931335065,0.31985706207445785,0.2612596718358994,0.7199892034371634
Recomm_ShortInterest,0.8173478064157346,0.4469477388492103,156,2011,0.5468268653086413,0.2511876717332869,0.881602271628887,-1.1823730123893401
ResidualMomentum,0.9503154714338249,0.3261864293680202,955,2011,0.3432401546360957,0.5439581641699331,0.881602271628887,2.031021418237044
ReturnSkew,0.40910164654499487,0.2784600917022319,600,2015,0.6806623587412172,-0.6476957466110541,1.377876351463277,1.2067134001002642
ReturnSkew3F,0.2858722248119361,0.21315110741996315,600,2015,0.7456167088642024,-0.919024407444215,1.377876351463277,1.2067134001002642
RevenueSurprise,0.7313062114211061,0.37449178161991337,204,2006,0.5120861491005042,0.0617398075989149,0.2612596718358994,-0.706596616420879
RoE,0.32123897876546714,0.3796178159442777,180,1996,1.1817302414643531,-0.8411532801332835,-0.9794255277500759,-0.9285782167790214
SP,0.7111349640154038,0.8830331277187278,156,1996,1.2417236845347974,0.017326408031242295,-0.9794255277500759,-1.1823730123893401
STreversal,2.9679188578960907,1.6089490651773635,648,1990,0.5421135624704785,4.986352011696986,-1.723836647501661,1.3432067373034093
ShareIss1Y,0.7132510398957802,0.8547613638601078,408,2008,1.198401847384625,0.0219856203100082,0.5093967117530944,0.5227263039932631
ShareIss5Y,0.5394836426140427,0.877460876245249,432,2006,1.6264828197451058,-0.36061842455072696,0.2612596718358994,0.6240989275841192
ShareRepurchase,0.31412167378105316,0.28456864675864163,132,1995,0.9059185357486336,-0.8568242846953715,-1.1034940477086734,-1.478649793114808
ShareVol,0.7368070308454938,0.054294481130510656,360,1998,0.073688874912346,0.07385160644462645,-0.7312884878328808,0.30074470363512074
ShortInterest,0.8250633249999367,0.9829098943035568,216,2001,1.1913144900770278,0.2681758332911637,-0.35908292795708824,-0.6052239928300228
Size,0.4967133669589979,0.04799398437550664,594,1981,0.09662309808438957,-0.45479075331558083,-2.8404533271290386,1.1888887467379177
SmileSlope,1.821287213974395,0.8514126948882719,119,2011,0.46747854394163757,2.4616787312515194,0.881602271628887,-1.6625274359597255
Spinoff,0.39561856352738,-0.029383692975903358,288,1993,-0.07427278617543882,-0.6773830307646431,-1.3516310876258684,-0.09500888213517249
SurpriseRD,0.29276399961763716,-0.026660059911188246,336,2004,-0.09106331361098863,-0.9038499791096791,0.013122631918704325,0.17838321874012156
Tax,0.43583769307098497,0.36591001211666246,336,2004,0.8395556830764214,-0.5888278593983376,0.013122631918704325,0.17838321874012156
